2014-11-25 03:34:55 status unpacked libprocps3:amd64 1:3.3.9-1ubuntu2
2014-11-25 03:34:55 status unpacked libprocps3:amd64 1:3.3.9-1ubuntu2
2014-11-25 03:34:56 install libselinux1:amd64 <none> 2.2.2-1
2014-11-25 03:34:56 status half-installed libselinux1:amd64 2.2.2-1
2014-11-25 03:34:56 status unpacked libselinux1:amd64 2.2.2-1
2014-11-25 03:34:56 status unpacked libselinux1:amd64 2.2.2-1
2014-11-25 03:34:56 install libsemanage-common:all <none> 2.2-1
2014-11-25 03:34:56 status half-installed libsemanage-common:all 2.2-1
2014-11-25 03:34:56 status unpacked libsemanage-common:all 2.2-1
2014-11-25 03:34:56 status unpacked libsemanage-common:all 2.2-1
2014-11-25 03:34:56 install libsemanage1:amd64 <none> 2.2-1
2014-11-25 03:34:56 status half-installed libsemanage1:amd64 2.2-1
2014-11-25 03:34:56 status unpacked libsemanage1:amd64 2.2-1
2014-11-25 03:34:56 status unpacked libsemanage1:amd64 2.2-1
2014-11-25 03:34:57 install libsepol1:amd64 <none> 2.2-1
2014-11-25 03:34:57 status half-installed libsepol1:amd64 2.2-1
2014-11-25 03:34:57 status unpacked libsepol1:amd64 2.2-1
2014-11-25 03:34:57 status unpacked libsepol1:amd64 2.2-1
2014-11-25 03:34:57 install libslang2:amd64 <none> 2.2.4-15ubuntu1
2014-11-25 03:34:57 status half-installed libslang2:amd64 2.2.4-15ubuntu1
2014-11-25 03:34:57 status unpacked libslang2:amd64 2.2.4-15ubuntu1
2014-11-25 03:34:57 status unpacked libslang2:amd64 2.2.4-15ubuntu1
2014-11-25 03:34:57 install libss2:amd64 <none> 1.42.9-3ubuntu1
